Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Region_Local,Region_Mid,Region_Broad,Industry_Category
Clutch Security,https://www.crunchbase.com/organization/clutch-security,2023-01-01,"Ofir Har Chen, Sagi Haas, Tal Kimhi",11-50,"Clutch is the industry's first Universal Non-Human Identity Security Platform, built for the enterprise","Computer, Cyber Security, Network Security, Privacy","Consumer Electronics, Hardware, Information Technology, Privacy and Security","Wilmington, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",Active,Early Stage Venture,2,20000000.0,USD,2025-01-29,Series A,28500000.0,USD,2.0,"Lightspeed Venture Partners, Merlin Ventures, SignalFire, Aaron Applbaum, Nir Polak",-0.1,0.0,-0.1,44.00%,Y,Greater Philadelphia Area,East Coast,Southern US,Enterprise Software
Hyperbots,https://www.crunchbase.com/organization/hyperbots-inc,2023-01-01,Unknown,51-100,Hyperbots specializes in developing AI-powered finance assistants that automate and transform repetitive tasks.,"Artificial Intelligence (AI), Business Intelligence","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Dover, Delaware, United States","East Coast, Southern US",Active,Early Stage Venture,2,6500000.0,USD,2025-05-13,Series A,8500000.0,USD,3.0,"Kalaari Capital, Athera Venture Partners, Arkam Ventures, JSW Ventures, SunICON Ventures",-0.3,-1.8,-3.2,36.00%,N,East Coast,Unknown,Southern US,AI & Data
Lettuce Financial,https://www.crunchbase.com/organization/lettuce-financial,2023-05-24,Ran Harpaz,11-50,Tax & Accounting for Solopreneurs,"Financial Services, FinTech",Financial Services,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Unknown,4,3000000.0,USD,2025-08-18,Venture - Series Unknown,29924997.0,USD,1.0,Zeev Ventures,-0.3,-1.6,3.0,9.00%,N,San Francisco Bay Area,West Coast,Western US,Fintech
Atmanity,https://www.crunchbase.com/organization/atmanity,2024-10-07,"Chen-Ping Yu, Yi-Hsuan Tsai",11-50,Bringing AI to life.,"Artificial Intelligence (AI), Information Technology, Internet, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Seed,2,4000000.0,USD,2025-07-01,Pre-Seed,6300000.0,USD,0.0,"Forerunner, Recursive Ventures, GFR Fund, Zeno Partners, Addin Ventures",0.1,0.0,5.6,83.00%,N,San Francisco Bay Area,Silicon Valley,Western US,AI & Data
Flikforge,https://www.crunchbase.com/organization/flikforge,2024-05-12,"Chris Hock, Craig German, Jeff Allen, Jeff Allen, Sandy Phulluke, Susanne Estrada",11-50,"Flikforge is the trust infrastructure for generative AI video, providing data labeling, licensing and AI workflow platform capabilities.","Artificial Intelligence (AI), Data Collection and Labeling, Data Management, Generative AI, Image Recognition, Legal Tech, Media and Entertainment","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Professional Services, Science and Engineering, Software","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Early Stage Venture,2,1250000.0,USD,2025-01-31,Series A,1350000.0,USD,1.0,"Tiger Strategies, #Angels, Adam Sah, Jeff Allen, John Hutchinson",0.0,0.7,-0.3,14.00%,N,Greater Los Angeles Area,West Coast,Western US,AI & Data
SOON,https://www.crunchbase.com/organization/soon-551a,2024-01-01,Joanna Zeng,11-50,SOON designs and develops a high-performance rollup stack powered by decoupled SVM across L2 to be deployed on any L1.,"Blockchain, Cryptocurrency, Database, Network Security, Web3","Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Information Technology, Internet Services, Other, Payments, Privacy and Security, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,3,5000000.0,USD,2025-06-11,Seed,27000000.0,USD,1.0,"Amber Group, Hack VC, Jump Crypto, ArkStream Capital, SNZ Holding",-0.2,-0.7,-1.7,150.00%,N,Greater New York Area,East Coast,Northeastern US,Fintech
Credtent,https://www.crunchbase.com/organization/credtent,2023-11-30,"Dr. J. Galen Buckwalter, E.R. Burgess",11-50,"Credtent is a neutral, third-party utility uniting creators and AI for mutual prosperity via Licensing-as-a-Service.","Artificial Intelligence (AI), Consumer Research, Consumer Software, Content Creators, Market Research, Software","Artificial Intelligence (AI), Data and Analytics, Design, Media and Entertainment, Science and Engineering, Software","San Dimas, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Seed,2,0.0,USD,2025-08-08,Seed,253000.0,USD,0.0,Unknown,-0.6,-1.6,8.7,11.00%,N,Greater Los Angeles Area,West Coast,Western US,AI & Data
Geordie AI,https://www.crunchbase.com/organization/geordie-ai,2025-01-01,"Benji Weber, Henry Comfort",11-50,Geordie AI is a cybersecurity startup.,"Artificial Intelligence (AI), Cyber Security, Real Time","Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Privacy and Security, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,6500000.0,USD,2025-09-09,Seed,6500000.0,USD,2.0,"AlphaGraph, General Catalyst, Ten Eleven Ventures, Step Function Ventures",0.0,9.9,9.9,360.00%,N,Greater New York Area,East Coast,Northeastern US,AI & Data
Newleos Therapeutics,https://www.crunchbase.com/organization/newleos-therapeutics,2024-01-01,"David Donabedian, PhD, Federico Bolognani, Miguel Sobral, William Martin",11-50,Newleos Therapeutics is a biotech startup dedicated to producing safer and more effective neuroscience medicines.,"Biotechnology, Neuroscience","Biotechnology, Science and Engineering","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,Early Stage Venture,1,93500000.0,USD,2025-02-13,Series A,93500000.0,USD,1.0,"Novo Holdings, DCVC Bio, Longwood Fund, Goldman Sachs Alternatives, Arkin Bio Ventures",-0.4,-1.6,-0.4,1800.00%,Y,Greater Boston Area,East Coast,Northeastern US,Healthcare & Biotech
Corvic AI,https://www.crunchbase.com/organization/corvic-ai,2023-01-01,Farshid Sabet,11-50,Corvic AI is pioneering new era of Data-Centric AI Cognitive Infrastructure by transforming raw enterprise data into AI-ready intelligence.,Unknown,Unknown,"Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Seed,1,12000000.0,USD,2025-04-15,Seed,12000000.0,USD,2.0,"Bosch Ventures, Foothill Ventures, LDV Partners, Lam Capital, M Ventures",0.0,-0.5,-0.1,53.00%,Y,San Francisco Bay Area,Silicon Valley,Western US,Unknown
SAINTE,https://www.crunchbase.com/organization/total-reentry-solution-trs,2023-07-07,Katy Kelly,11-50,"Ai driven Human Centered, Trauma Informed, Proactive Care","Artificial Intelligence (AI), Enterprise Software, Generative AI, Information Technology, Mental Health, Natural Language Processing, Predictive Analytics, SaaS, Social Impact, Wellness","Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Other, Science and Engineering, Social Impact, Software","Detroit, Michigan, United States","Greater Detroit Area, Great Lakes, Midwestern US",Active,Seed,1,250000.0,USD,2025-02-01,Pre-Seed,250000.0,USD,0.0,"Techstars, Red Cedar Ventures",0.0,0.0,3.0,1.00%,N,Greater Detroit Area,Great Lakes,Midwestern US,Healthcare & Biotech
Gravity,https://www.crunchbase.com/organization/gravity-foundation,2024-04-02,Lucas Thelosen,11-50,"Orion, the AI powered Business Analyst",Unknown,Unknown,"Boulder, Colorado, United States","Greater Denver Area, Western US",Active,Seed,2,3200000.0,USD,2025-09-02,Pre-Seed,3200000.0,USD,5.0,"Village Global, K5 Global, Denver Ventures, Drive Capital, Ritual Capital",-0.1,9.5,9.4,58.00%,N,Greater Denver Area,Unknown,Western US,Unknown
Entrada,https://www.crunchbase.com/organization/entrada-b154,2023-01-01,"Carley Donovan, Trey Roldan",11-50,Entrada is focused on helping customers modernize their data + AI capabilities leveraging the Databricks platform.,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Cloud Data Services, Data Integration, Machine Learning, Professional Services","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Unknown,2,6484982.0,USD,2025-07-29,Venture - Series Unknown,6484982.0,USD,1.0,Databricks Ventures,-0.5,-1.9,9.2,143.00%,Y,San Francisco Bay Area,West Coast,Western US,AI & Data
AttoTude,https://www.crunchbase.com/organization/attotude,2024-01-01,"Dave Welch, Joy Laskar",11-50,AttoTude is a THz interconnect technology company using THz radios to enhance bandwidth for AI and hyperscale data centers.,"Information Technology, Internet, Wireless","Hardware, Information Technology, Internet Services, Mobile","Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Early Stage Venture,3,50000000.0,USD,2025-04-01,Series B,90000000.0,USD,1.0,"Mayfield Fund, Wing Venture Capital, The Westly Group, Canaan Partners, Sutter Hill Ventures",0.3,-0.3,-0.4,100.00%,N,San Francisco Bay Area,Silicon Valley,Western US,Enterprise Software
Limelight,https://www.crunchbase.com/organization/limelight-0977,2023-01-01,"David Walsh, Youngjae Ji",11-50,A B2B Influencer marketplace. Helping brands scale go-to-market via content partnerships with verified B2B creators and thought leaders.,"B2B, Brand Marketing, Digital Marketing, Marketplace, SaaS, Software","Commerce and Shopping, Other, Sales and Marketing, Software","Marina Del Rey, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Seed,2,0.0,USD,2025-09-15,Seed,1100000.0,USD,0.0,"AltaIR Capital, Soma Capital, Savyon Ventures, Entrepreneur.com",0.0,5.8,3.3,38.00%,N,Greater Los Angeles Area,West Coast,Western US,Enterprise Software
RunReveal,https://www.crunchbase.com/organization/runreveal,2023-01-01,"Alan Braithwaite, Evan Johnson",11-50,RunReveal is a security data platform designed to be the all in one solution for your security logs,"Security, Software","Privacy and Security, Software","Austin, Texas, United States",Southern US,Active,Seed,2,7000000.0,USD,2025-07-29,Seed,9500000.0,USD,1.0,"Modern Technical Fund, Costanoa Ventures, Okta Ventures, Runtime Ventures",-1.1,-3.1,6.8,133.00%,Y,Southern US,Unknown,Unknown,Enterprise Software
MEGA.AI,https://www.crunchbase.com/organization/mega-ai,2023-10-23,Peter Hauge Jensen,11-50,"MEGA.AI specializes in automating the debt collection process, enhancing efficiency by handling payment reminders and account management.",Software,Software,"Dover, Delaware, United States","East Coast, Southern US",Active,Seed,1,1700000.0,EUR,2025-09-04,Pre-Seed,1700000.0,EUR,1.0,Spintop Ventures,0.0,9.5,9.4,42.00%,N,East Coast,Unknown,Southern US,Enterprise Software
Nexxa.ai,https://www.crunchbase.com/organization/nexxa-ai,2024-05-01,"DH (David) Huang, Philipp Wehn",11-50,Specialized Artificial Intelligence for Heavy Industries,"Artificial Intelligence (AI), Commercial Real Estate, Generative AI, Industrial, Manufacturing, Mining, Oil and Gas, Railroad, Software","Artificial Intelligence (AI), Data and Analytics, Energy, Manufacturing, Natural Resources, Real Estate, Science and Engineering, Software, Transportation","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Seed,1,4400000.0,USD,2025-07-21,Pre-Seed,4400000.0,USD,1.0,"Plug and Play, Augment Ventures, Propeller, A16Z GAMES Speedrun, Beat Ventures",-0.3,-4.8,9.1,300.00%,N,San Francisco Bay Area,Silicon Valley,Western US,AI & Data
Thor Dynamics,https://www.crunchbase.com/organization/thor-dynamics,2024-11-08,"Gleb Chuvpilo, Kenneth Braithwaite, Scott Buchter",11-50,Thor Dynamics specializes in directed energy systems for drone and swarm defense to protect critical infrastructure and national security,"Aerospace, Artificial Intelligence (AI), Drone Management, Drones, Laser, Military, Robotics","Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Government and Military, Hardware, Information Technology, Science and Engineering, Software","Orlando, Florida, United States","East Coast, Southern US",Active,Seed,1,8310000.0,USD,2025-05-19,Seed,8310000.0,USD,2.0,"Lifeline Ventures, Scout Ventures, Jackson Moses, Bachmanity Capital, Yannick Sonnenberg",-0.4,-0.9,-2.7,400.00%,Y,East Coast,Unknown,Southern US,AI & Data
SigIQ,https://www.crunchbase.com/organization/sigiq,2023-08-31,Unknown,11-50,SigIQ offers and builds reliable & trustworthy GenAI for lowering the cost of personalized learning to the cost of computation.,"Artificial Intelligence (AI), Generative AI, Information Technology","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Berkeley, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,1,9500000.0,USD,2025-04-07,Seed,9500000.0,USD,2.0,"General Catalyst, Duolingo, Peak XV Partners, The House Fund, GSV Ventures",-0.2,2.2,1.9,55.00%,Y,San Francisco Bay Area,West Coast,Western US,AI & Data
Motif,https://www.crunchbase.com/organization/motif-413e,2023-01-01,Unknown,11-50,"Motif is a creating a platform that fosters creativity, encourages teamwork.","Architecture, Construction, Industrial Engineering","Manufacturing, Real Estate, Science and Engineering","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Early Stage Venture,2,46000000.0,USD,2025-01-30,Series A,46000000.0,USD,2.0,"Redpoint, Baukunst, CapitalG",-0.2,-0.6,-0.9,89.00%,N,San Francisco Bay Area,West Coast,Western US,Industrial & Other
Symmetri,https://www.crunchbase.com/organization/symmetri,2025-01-01,"Steven Wolfe Pereira, Tom Chavez, Vivek Vaidya",11-50,"Symmetri is an agentic marketing platform designed to empower brands in the emerging ""Agent Economy,""","Artificial Intelligence (AI), Generative AI, Information Technology, Marketing","Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,1,6000000.0,USD,2025-09-03,Seed,6000000.0,USD,1.0,super{set},-0.2,9.9,9.9,400.00%,N,San Francisco Bay Area,West Coast,Western US,AI & Data
Marble Health,https://www.crunchbase.com/organization/marble-health,2023-01-01,Unknown,11-50,Marble Health provides access to personalized therapy to help teens in their mental health journey.,"Health Care, Mental Health, Wellness",Health Care,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Early Stage Venture,2,0.0,USD,2025-06-20,Series A,5000000.0,USD,2.0,"Khosla Ventures, FJ Labs, Town Hall Ventures, Daybreak ventures, IA Ventures",-0.1,-0.3,-0.6,Unknown,Y,Greater New York Area,East Coast,Northeastern US,Healthcare & Biotech
Aspyr Living,https://www.crunchbase.com/organization/aspyr-living,2023-09-11,Unknown,11-50,"Helping people live healthier lives with natural home & personal care products that outperform toxic national brands,","Consumer Goods, E-Commerce, Manufacturing, Personal Health, Wellness","Commerce and Shopping, Consumer Goods, Health Care, Manufacturing","Fort Lauderdale, Florida, United States","Greater Miami Area, East Coast, Southern US",Active,Seed,2,3000000.0,USD,2025-09-09,Seed,5200000.0,USD,1.0,RJD Green,-0.3,9.1,9.6,-25.00%,N,Greater Miami Area,East Coast,Southern US,Healthcare & Biotech
Newton Research,https://www.crunchbase.com/organization/newton-research,2023-01-01,"John Hoctor, Matthew Emans, Steven Bennett",11-50,Newton Research has developed a team of AI agents extensively trained on marketing analytics.,"Analytics, Artificial Intelligence (AI), Data Management","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Needham, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,Early Stage Venture,2,8000000.0,USD,2025-05-15,Series A,13100000.0,USD,2.0,"Bessemer Venture Partners, Greycroft, AperiamVentures, LiveRamp, S4S Ventures",-0.4,-1.6,3.3,140.00%,Y,Greater Boston Area,East Coast,Northeastern US,AI & Data
Snowfire AI,https://www.crunchbase.com/organization/snowfire-ai,2024-04-15,Greg Genung,11-50,Adaptive Decision Intelligence for Executives in the AI Era,"Analytics, Artificial Intelligence (AI), Big Data, Business Information Systems, Business Intelligence, Predictive Analytics","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Austin, Texas, United States",Southern US,Active,Seed,1,2300000.0,USD,2025-04-16,Pre-Seed,2300000.0,USD,0.0,Unknown,-0.4,-1.1,5.5,63.00%,Y,Southern US,Unknown,Unknown,AI & Data
Nyne.ai,https://www.crunchbase.com/organization/nyne-ai,2025-01-01,Michael Fanous,11-50,"SaaS, Sales automation, AI, artificial intelligence, ML, Machine Learning","Artificial Intelligence (AI), B2B, Lead Generation, Machine Learning, SaaS, Sales, Sales Automation, Sales Enablement, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Sales and Marketing, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,1,1000000.0,USD,2025-09-03,Pre-Seed,1000000.0,USD,1.0,South Park Commons,-0.1,9.4,9.5,350.00%,N,San Francisco Bay Area,West Coast,Western US,AI & Data
Tacta Systems,https://www.crunchbase.com/organization/tacta-systems,2023-01-01,Unknown,11-50,"Tacta Systems develops robotics with human-like tactile abilities with Dextrous Intelligence, the nervous system for robots.","Artificial Intelligence (AI), Machine Learning, Robotics","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Early Stage Venture,2,64000000.0,USD,2025-06-26,Series A,75000000.0,USD,3.0,"B Capital, SBVA, America’s Frontier Fund, Woven Capital, Matter Venture Partners",0.1,-0.5,-2.8,140.00%,N,San Francisco Bay Area,Silicon Valley,Western US,AI & Data
Callidus Legal AI,https://www.crunchbase.com/organization/callidusai,2023-01-01,Justin McCallon,11-50,"AI legal platform automating litigation drafting and research, reducing 40-hour tasks to minutes with 10M+ case database.","Artificial Intelligence (AI), Information Technology, Legal Tech, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,2,10000000.0,USD,2025-07-15,Seed,10000000.0,USD,2.0,"Cervin Ventures, Capital Factory, Active Capital, Myriad Venture Partners, AI Fund",-0.2,-3.1,9.2,130.00%,N,San Francisco Bay Area,West Coast,Western US,AI & Data
Intangible,https://www.crunchbase.com/organization/intangible-technology,2024-01-01,Unknown,11-50,Intangible Technology is technology company,"Digital Marketing, Marketing, SaaS, Software","Sales and Marketing, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,3,4000000.0,USD,2025-03-06,Seed,4300000.0,USD,3.0,"Andreessen Horowitz, Alumni Ventures, Karman Ventures, Crosslink Capital, A16Z GAMES Speedrun",0.0,-0.6,-0.8,73.00%,Y,San Francisco Bay Area,West Coast,Western US,Enterprise Software
Infinity Bio,https://www.crunchbase.com/organization/infinity-bio-74c4,2023-01-01,Unknown,11-50,Infinity Bio is a biotech company that offers analytics and insight services for antibody reactome profiling against all human viruses.,"Biometrics, Biotechnology, Medical, Product Research","Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering","Baltimore, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",Active,Early Stage Venture,2,8000000.0,USD,2025-06-18,Series A,12516093.0,USD,1.0,"Blackbird BioVentures, Illumina Ventures, PTX Capital, Propel Baltimore Fund",-0.2,-1.1,-4.4,21.00%,N,Greater Baltimore-Maryland Area,East Coast,Southern US,Healthcare & Biotech
Hexium,https://www.crunchbase.com/organization/hexium,2023-01-01,Unknown,11-50,Hexium enriches isotopes for next-gen reactors using LLNL AVLIS including Lithium and Uranium,"Energy, Energy Storage, Renewable Energy","Energy, Sustainability","Austin, Texas, United States",Southern US,Active,Unknown,4,13000000.0,USD,2025-07-21,Undisclosed,25054991.0,USD,2.0,"MaC Venture Capital, R7 Partners, Refactor, Humba Ventures, Overture VC",-0.5,-3.2,-1.2,200.00%,N,Southern US,Unknown,Unknown,CleanTech & Energy
Ravenna,https://www.crunchbase.com/organization/ravenna-32a1,2024-05-28,"Kevin Coleman, Taylor Halliday",11-50,Ravenna is a Slack and AI native ITSM. Spend less time on support tickets with Ravenna's AI automated knowledge base.,"Artificial Intelligence (AI), IT Infrastructure, IT Management, Machine Learning, SaaS, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",Active,Seed,1,15000000.0,USD,2025-04-24,Seed,15000000.0,USD,2.0,"Khosla Ventures, Madrona, Guillermo Rauch, Founders' Co-op, Chris Bakke",0.0,-0.1,0.4,58.00%,Y,Greater Seattle Area,West Coast,Western US,AI & Data
Eytrix,https://www.crunchbase.com/organization/eytrix,2025-03-25,"Erdem Hacisalihoglu, Ethan Lee",11-50,AI that monitors countless surveillance feeds.,"Artificial Intelligence (AI), Computer Vision, Government, Public Safety, Software","Artificial Intelligence (AI), Data and Analytics, Government and Military, Hardware, Science and Engineering, Software","Pasadena, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Early Stage Venture,2,26000000.0,USD,2025-05-08,Series A,29000000.0,USD,1.0,"General Catalyst, Sequoia Capital, Y Combinator, Lux Capital, DCVC",0.0,-0.5,-1.2,0.00%,N,Greater Los Angeles Area,West Coast,Western US,AI & Data
Miden,https://www.crunchbase.com/organization/miden-2df1,2025-01-01,Azeem Khan,11-50,Miden grants applications the power to scale with public and private transactions.,"Blockchain, Cryptocurrency, FinTech","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Seed,1,25000000.0,USD,2025-04-29,Seed,25000000.0,USD,3.0,"Hack VC, a16z crypto, Symbolic Capital, Finality Capital Partners, Delta Blockchain Fund",0.0,-0.7,-0.5,1900.00%,N,San Francisco Bay Area,Silicon Valley,Western US,Fintech
AheadComputing,https://www.crunchbase.com/organization/aheadcomputing,2024-01-01,"Debbie Marr, Jonathan Pearce",51-100,"AheadComputing specializes in designing, licensing, and providing support for high-performance microprocessor cores.","Electronics, Information Technology, Manufacturing","Consumer Electronics, Hardware, Information Technology, Manufacturing","Beaverton, Oregon, United States","West Coast, Western US",Active,Seed,1,21500000.0,USD,2025-02-19,Seed,21500000.0,USD,1.0,"Eclipse Ventures, Maverick Capital, Fundomo, EPIQ Capital Group, Jim Keller",0.4,0.3,-2.6,439.00%,Y,West Coast,Unknown,Western US,Enterprise Software
GTE,https://www.crunchbase.com/organization/gte-8e4f,2024-01-01,"Matteo Lunghi, Moses Lee, Nate Burbage",11-50,GTE is a decentralized trading platform that offers end-to-end trading services.,"Blockchain, Cryptocurrency, FinTech","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,10000000.0,USD,2025-01-16,Seed,10000000.0,USD,0.0,"Wintermute, Robot Ventures, Maven 11 Capital, Karatage, IMC Trading",0.0,-0.6,3.0,300.00%,N,Greater New York Area,East Coast,Northeastern US,Fintech
Biography,https://www.crunchbase.com/organization/biography-33df,2024-12-01,"null null, Sol Kim, Sungjoo Yoon",11-50,Building the future of human-computer interaction.,Software,Software,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,Seed,1,5450000.0,USD,2025-05-14,Seed,5450000.0,USD,0.0,Stratus Ventures,0.0,-0.2,0.0,233.00%,N,Greater Boston Area,East Coast,Northeastern US,Enterprise Software
Brandlight,https://www.crunchbase.com/organization/brandlight-6a6b,2024-01-01,"Didi Dvash, Imri Marcus, Uri Gafni",11-50,Brandlight engages in AI Insights and Influence System.,"Artificial Intelligence (AI), Information Technology","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Wilmington, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",Active,Seed,1,5750000.0,USD,2025-04-16,Pre-Seed,5750000.0,USD,2.0,"G20 Ventures, Cardumen Capital",0.3,0.1,-0.4,286.00%,Y,Greater Philadelphia Area,East Coast,Southern US,AI & Data
Io,https://www.crunchbase.com/organization/io-963b,2024-01-01,Jony Ive,51-100,"Io develops AI-powered devices that reimagine how users interact with technology, moving beyond traditional smartphones and screens.","Artificial Intelligence (AI), Internet of Things, Network Hardware","Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,M&A,1,0.0,USD,2025-01-21,Seed,0.0,USD,1.0,"Thrive Capital, Maverick Ventures, SV Angel, Emerson Collective, Flat Capital",0.1,6.8,8.4,Unknown,N,San Francisco Bay Area,West Coast,Western US,AI & Data
Alta,https://www.crunchbase.com/organization/alta-eab5,2023-01-01,"Mor Shabtai, Stav Neumark, Tom Hoffen",11-50,Alta leverages data and AI to drive business growth 24/7.,"Artificial Intelligence (AI), Data Management, Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,7000000.0,USD,2025-03-04,Seed,7000000.0,USD,2.0,"Entrée Capital, Target Global, Ben Lang",-0.1,-0.5,-0.3,36.00%,Y,Greater New York Area,East Coast,Northeastern US,AI & Data
Intent Inc,https://www.crunchbase.com/organization/groupultra,2023-01-01,"Brandon Chen, Jianuo Xu",11-50,Intent is building a new kind of chat app where people and AI interact together in real time.,Social Media,"Internet Services, Media and Entertainment","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Seed,3,0.0,USD,2025-08-26,Seed,2000000.0,USD,4.0,"a16z crypto, GV, MiraclePlus, iSeed Ventures, Will Hunting Capital",-0.1,0.0,8.0,8.00%,N,San Francisco Bay Area,Silicon Valley,Western US,Media & Marketing
Agency AI,https://www.crunchbase.com/organization/agentops,2023-10-01,"Adam Silverman, Alex Reibman, Shawn Qiu",11-50,Agency AI provides AgentOps.ai to create a reliable environment for AI agent development.,"Artificial Intelligence (AI), Data Management, Generative AI","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,2,0.0,USD,2025-01-08,Seed,2600000.0,USD,3.0,"645 Ventures, Afore Capital, Ironwood Ventures, SummitSpark Partners",0.0,-0.2,-0.6,194.00%,N,San Francisco Bay Area,West Coast,Western US,AI & Data
Wellick Capital Group,https://www.crunchbase.com/organization/wellick-capital-group,2025-08-20,Nguyen Quang Nghia,11-50,Wellick Capital Group is an investment management company based that focuses on equity investments.,"Finance, Venture Capital","Financial Services, Lending and Investments","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",Active,Private Equity,1,5270000.0,USD,2025-08-20,Private Equity,5270000.0,USD,0.0,Unknown,-0.4,9.3,9.9,0.00%,N,Greater Seattle Area,West Coast,Western US,Fintech
ResiQuant,https://www.crunchbase.com/organization/resiquant,2024-01-01,"Francisco Galvis, Omar Issa",11-50,ResiQuant is an autonomous property intelligence platform revealing hidden risks impacting billions in disaster exposure.,"Artificial Intelligence (AI), InsurTech, PropTech, Risk Management, Software","Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Real Estate, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,2,4000000.0,USD,2025-03-14,Seed,4650000.0,USD,2.0,"Pear VC, Alumni Ventures, Foothill Ventures, LDV Capital",-0.2,-1.4,-1.1,50.00%,N,San Francisco Bay Area,West Coast,Western US,AI & Data
