Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Postal_Code,Diversity_Spotlight,Estimated_Revenue_Range,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Last_Leadership_Hiring_Date,Last_Layoff_Mention_Date,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Job_Postings_on_Linkedin,Job_postings_on_official_website,Additional_Comment
TwinMind,https://www.crunchbase.com/organization/twinmind,1/1/2023,,11-50,Developer of an AI-powered real-time listening assistant designed to help individuals gain insights and improve communication.,"Artificial Intelligence (AI), Natural Language Processing, Speech Recognition","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94301,,,Active,Seed,1,"$5,700,000.00",USD,7/1/2025,Seed,"$5,700,000.00",USD,1,"Sequoia Capital, Streamlined Ventures, Stephen Wolfram",,,0.4,6.6,9.9,100.00%,Y,0,3,https://wellfound.com/company/twinmind-1
Zoca,https://www.crunchbase.com/organization/zoca,1/1/2024,,11-50,Zoca operates as an AI powered marketing team.,"Artificial Intelligence (AI), Marketing, Software","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Phoenix, Arizona, United States","Greater Phoenix Area, Western US",,,,Active,Seed,1,"$6,000,000.00",USD,5/21/2025,Seed,"$6,000,000.00",USD,1,"Accel, Elevation Capital, GTMfund, Better Capital",,,0.1,-0.2,-2.3,185.00%,Y,0,5,https://ask-elephant.notion.site/
Sunset,https://www.crunchbase.com/organization/sunset-d9fa,1/1/2023,Brendan Mahony,11-50,Sunset helps companies shut down,"Business Process Automation (BPA), Productivity Tools, Software",Software,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,,2,"$6,431,886.00",USD,4/4/2025,Venture - Series Unknown,"$7,931,886.00",USD,,Everywhere Ventures,,,-0.3,-0.6,2.7,20.00%,Y,0,1,https://www.sunsethq.com/careers
Youlify,https://www.crunchbase.com/organization/youlify,3/1/2024,"Bo Gu, MD, Haoruo Peng, Sally Liang",11-50,"Youlify offers AI solutions for medical billing, denied claims investigation, and real-time financial insights.","Artificial Intelligence (AI), Billing, Financial Services, Health Care, Medical","Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Payments, Science and Engineering, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94303,,,Active,Seed,1,"$4,300,000.00",USD,4/16/2025,Seed,"$4,300,000.00",USD,1,"Bonfire Ventures, Top Harvest Capital, Illia Polosukhin, Dan Roth",,,0.0,1.9,0.8,225.00%,Y,0,4,https://www.youlify.ai/company/careers
Agentuity,https://www.crunchbase.com/organization/agentuity,1/1/2025,"Bobby Christopher, Jeff Haynie, Matthew Congrove, Rick Blalock, Robin Diddams",11-50,"Agentuity is a cloud platform purpose-built for deploying, managing, and scaling AI agents.","Artificial Intelligence (AI), Information Technology","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Austin, Texas, United States",Southern US,,,,Active,Seed,1,"$4,000,000.00",USD,1/27/2025,Seed,"$4,000,000.00",USD,1,"Bloomberg Beta, boldstart ventures, OneSixOne Ventures, Southern Equity",,,0.0,-0.4,-1.5,550.00%,Y,0,3,https://agentuity.com/careers
WiseBee Hive,https://www.crunchbase.com/organization/wisebee-hive,6/1/2024,Stoyan Stoyanov,11-50,"WiseBee is an AI-powered cybersecurity platform that helps teams detect, prioritize, and fix risks - automatically and in real time.","Artificial Intelligence (AI), Cyber Security","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,1,"$2,500,000.00",USD,5/1/2025,Pre-Seed,"$2,500,000.00",USD,2,"BrightCap Ventures, Frontline Ventures",,,-0.9,-2.0,9.6,125.00%,Y,0,4,https://wisebee.ai/careers/
Donut,https://www.crunchbase.com/organization/donut-893a,1/1/2025,,11-50,Donut is the first crypto agentic browser that uses the finest crypto in-domain model and a swarm of browsing agents.,"Blockchain, Cryptocurrency, Financial Services","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,$1M to $10M,Active,Seed,1,"$7,000,000.00",USD,5/29/2025,Pre-Seed,"$7,000,000.00",USD,3,"HSG, Sonic, Hack VC, Sky9 Capital, Altos Ventures",,,0.0,-0.1,-0.8,400.00%,Y,0,7,https://donutbrowser.notion.site/Join-DONUT-O-The-Executable-Browser-1f50c3402aa380f7a585d53b214256bd
Autonomy AI,https://www.crunchbase.com/organization/autonomy-ai,1/1/2023,Tammuz Dubnov,11-50,"AutonomyAI is an artificial agent that automates front-end development, reduces technical debt, and accelerates product launches.","Artificial Intelligence (AI), Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,Less than $1M,Active,Seed,1,"$4,000,000.00",USD,4/3/2025,Pre-Seed,"$4,000,000.00",USD,,"ION Crossover Partners, Outbound Capital, Inbound Capital, Vikram Makhija, Gilad Shany",,,0.0,-0.5,-0.7,100.00%,Y,0,3,https://autonomyai.io/careers/
Ravical,https://www.crunchbase.com/organization/ravical,1/1/2025,,11-50,Ravical assist expert firms in embracing the AI-first future.,"Artificial Intelligence (AI), Insurance, Legal Tech","Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software","Belgium, Wisconsin, United States","Great Lakes, Midwestern US",,,,Active,Seed,1,"$7,300,000.00",EUR,5/21/2025,Pre-Seed,"$7,300,000.00",EUR,1,Lakestar,,,-0.3,-1.4,-1.0,2300.00%,Y,0,4,https://ravical.com/careers
Integrail,https://www.crunchbase.com/organization/integrail,1/1/2023,Anton Antich,11-50,Integrail is a Agentic AI startup that makes it effortless for any business to unlock the transformational value of AI.,"Artificial Intelligence (AI), Information Technology, Security","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Greenwich, Connecticut, United States","East Coast, New England, Northeastern US",6830,,,Active,Seed,1,"$10,000,000.00",USD,2/12/2025,Seed,"$10,000,000.00",USD,1,Ratmir Timashev,4/22/2025,,-0.2,-0.8,-1.2,-33.00%,Y,0,5,https://everworker.ai/careers
Polygraf Inc.,https://www.crunchbase.com/organization/polygraf,3/1/2023,"Anton Stepaniuk, Vignesh Karumbaya, Yagub Rahimov",11-50,"Polygraf AI provides AI-native data integrity, monitoring & governance solutions to organizations via a Zero Trust framework.","Artificial Intelligence (AI), Data Governance, Data Integration, Fraud Detection, Machine Learning, Privacy","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Science and Engineering, Software","Austin, Texas, United States",Southern US,78701,,,Active,Seed,3,"$510,000.00",USD,4/25/2025,Pre-Seed,"$2,360,000.00",USD,2,"Gaingels, Sputnik ATX, Quansight Initiate, 10X Capital, Caucasus Ventures",,,0.2,-0.2,-0.1,10.00%,Y,0,9,https://polygraf.ai/careers/#jobs
norahealth.ai,https://www.crunchbase.com/organization/xtraininglive,1/1/2023,"Ajay Naik, Michelangelo Raiola, Pierangelo Raiola",11-50,Nora Health is a behavioral AI agent that drives Gen Z to healthy restaurants with real-time nudges and cashback rewards on every meal.,"Artificial Intelligence (AI), Computer Vision, Health Care, Machine Learning, Software","Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,2,"$2,500,000.00",USD,7/11/2025,Seed,"$6,000,000.00",USD,,"Gaingels, Lumen Ventures, SaxeCap, Yabeo, Italian Angels for Growth",,,1.0,-1.0,3.2,58.00%,N,0,0,
OpenLaw,https://www.crunchbase.com/organization/openlaw-fc8f,4/10/2023,"Abtin Gramian, Andrew Guzman, David Ngo",11-50,"OpenLaw helps individuals find the right attorneys based on specialty, experience, and location.","Legal, Legal Tech, Marketplace, Project Management, SaaS","Administrative Services, Commerce and Shopping, Other, Professional Services, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94111,,,Active,Seed,3,"$3,500,000.00",USD,7/22/2025,Seed,"$7,765,000.00",USD,2,"SQII Ventures, Gaingels, Everywhere Ventures, Slauson & Co., The LegalTech Fund",,,-0.9,-5.1,6.2,89.00%,N,0,0,
DiligentIQ,https://www.crunchbase.com/organization/diligentiq,2/1/2023,Ed Brandman,11-50,"DiligentIQ uses generative AI to streamline due diligence, identifying risks and opportunities in alternative asset classes.","Artificial Intelligence (AI), Data Visualization, Software","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software","Morristown, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",7960,,$1M to $10M,Active,Early Stage Venture,1,"$12,000,000.00",USD,2/18/2025,Series A,"$12,000,000.00",USD,1,"FINTOP Capital, JAM FINTOP",,,0.0,-0.1,-0.3,55.00%,N,0,0,
Onrise,https://www.crunchbase.com/organization/onrise,12/1/2023,Kimberly Quigley,11-50,Onrise provides mental health care for athletes.,"Health Care, Medical, mHealth, Psychology, Sports","Health Care, Mobile, Sports","Knoxville, Tennessee, United States",Southern US,37922,"Women Founded, Women Led",$10M to $50M,Active,Seed,1,,,8/27/2025,Seed,,,,"Wildwood Ventures, Crescent Ridge VC",,,-0.4,4.5,8.8,66.00%,Y,0,3,
DigPath,https://www.crunchbase.com/organization/digpath,5/19/2023,Webster Lincoln,11-50,DigPath is an AI-driven digital pathology company that offers medical diagnostics and research services.,"Biotechnology, Health Diagnostics, Medical","Biotechnology, Health Care, Science and Engineering","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,"Black Founded, Black Led",,Active,Seed,7,,,8/1/2025,Angel,"$100,000.00",USD,7,"Jonathan Whiteaker, SkyDeck Berkeley, Amazon Web Services, Databricks Ventures, Nvidia Inception",,,-0.6,-2.0,4.5,36.00%,N,0,0,
Parasail,https://www.crunchbase.com/organization/parasail-1570,1/1/2023,,11-50,Parasail is an AI deployment networking company that provides AI products to builders and innovators for secure compute.,"Artificial Intelligence (AI), Network Hardware, Open Source","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94402,,,Active,Seed,1,"$10,000,000.00",USD,4/2/2025,Seed,"$10,000,000.00",USD,,"Basis Set Ventures, Black Opal Ventures, Threshold, Buckley Ventures",,,-0.1,-0.1,1.5,36.00%,N,0,0,
Nace.AI,https://www.crunchbase.com/organization/nace-ai,1/1/2024,,11-50,"Nace.AI system generates small, task-specific AI models, offering enterprises alternative to traditional large language models.","Artificial Intelligence (AI), Enterprise Software, Generative AI","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",4301,,,Active,Seed,1,"$5,000,000.00",USD,3/24/2025,Seed,"$5,000,000.00",USD,1,"General Catalyst, MVP Ventures",,,0.0,-0.6,-0.7,10.00%,Y,0,3,
Signify Bio,https://www.crunchbase.com/organization/signify-bio,1/1/2024,,11-50,Signify Bio is a biotechnology company harnessing the human body for the production of in situ protein therapeutics.,"Hospital, Medical, Therapeutics",Health Care,"Dallas, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",,,,Active,,1,"$15,000,000.00",USD,6/5/2025,Venture - Series Unknown,"$15,000,000.00",USD,1,"Eli Lilly, Danaher Ventures, Actium Group, BrightEdge - American Cancer Society, Strategic Investment Fund",,,-0.2,-0.6,-3.6,200.00%,N,0,0,
Sympera AI,https://www.crunchbase.com/organization/sympera-ai,1/1/2024,,11-50,Sympera AI is an Agentic-AI platform that empowers relationship managers with AI-powered financial intelligence and sales enablement tools.,"Artificial Intelligence (AI), Banking, Financial Services, Sales","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Sales and Marketing, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,1,"$10,000,000.00",USD,3/25/2025,Seed,"$10,000,000.00",USD,2,"Nyca Partners, Viola Ventures",,,1.1,-0.2,-0.3,113.00%,Y,0,2,
Ryft,https://www.crunchbase.com/organization/ryft-866e,1/1/2024,,11-50,Intelligent Iceberg Management without the lock-in.,Data Management,Data and Analytics,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,1,"$8,000,000.00",USD,7/9/2025,Seed,"$8,000,000.00",USD,1,"Bessemer Venture Partners, Index Ventures, Ofir Ehrlich, Roy Reznik",,,-0.2,-2.8,9.9,200.00%,N,0,0,
ArcheHealth,https://www.crunchbase.com/organization/archehealth,1/1/2023,Ralph Keiser,11-50,"ArcheHealth is enabling hospitals to operate more efficiently, cut expenses, and maintain expansion.","Analytics, Artificial Intelligence (AI), Health Care, Machine Learning","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Birmingham, Alabama, United States",Southern US,,,,Active,Seed,1,"$6,700,000.00",USD,6/3/2025,Seed,"$6,700,000.00",USD,,"LRVHealth, Texas Health Resources, Martin Ventures",,,-0.9,-2.7,-3.1,42.00%,N,0,0,
FirmPilot,https://www.crunchbase.com/organization/firmpilot,1/1/2023,Jake Soffer,11-50,FirmPilot develops an AI-driven marketing engine designed for law firms.,"Artificial Intelligence (AI), Legal, Legal Tech, Marketing Automation, SEO","Artificial Intelligence (AI), Data and Analytics, Internet Services, Professional Services, Sales and Marketing, Science and Engineering, Software","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",33127,,$1M to $10M,Active,,3,,,5/7/2025,Venture - Series Unknown,"$9,000,000.00",USD,3,"FJ Labs, DoubleVerify, Early Light Ventures, HubSpot Ventures, SaaS Ventures",,,-0.1,-1.0,-1.5,87.00%,N,0,0,
AIxBlock,https://www.crunchbase.com/organization/aixblock,5/30/2024,Ha Dao,11-50,"The first unified platform for end-to-end AI development and workflow automation — modular, interconnected, and built for custom AI.","Artificial Intelligence (AI), Blockchain","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Other, Science and Engineering, Software","Dover, Delaware, United States","East Coast, Southern US",19904,,,Active,Seed,2,"$1,500,000.00",EUR,8/4/2025,Grant,"$2,287,615.00",USD,1,"European Union, Cogitent Ventures",,,-1.0,-4.0,6.6,44.00%,Y,0,3,
Averi,https://www.crunchbase.com/organization/averi,1/5/2024,Zack Holland,11-50,Averi is an AI marketing platform that combines proprietary AI models for strategy and content creation with a marketplace of human experts.,"Artificial Intelligence (AI), Marketing, Software","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",11222,,,Active,Seed,3,"$3,000,000.00",USD,5/27/2025,Seed,"$5,300,000.00",USD,3,"Gaingels, Right Side Capital Management, Integral Capital Partners, Grit Capital Partners, Riverside Ventures",,,0.0,-0.4,-1.9,133.00%,N,0,0,
Altius Labs,https://www.crunchbase.com/organization/altius-labs,1/1/2024,,11-50,Altius Labs is focused on developing a modular execution stack that works without depending on virtual machines (VMs).,"Blockchain, Cryptocurrency, Web3","Blockchain and Cryptocurrency, Financial Services, Internet Services, Other, Payments, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,1,"$11,000,000.00",USD,2/18/2025,Pre-Seed,"$11,000,000.00",USD,2,"Founders Fund, Amber Group, Pantera Capital, Archetype, Digital Currency Group",,,0.7,1.0,2.1,400.00%,Y,0,2,
Accelevate Solutions,https://www.crunchbase.com/organization/accelevate-solutions,1/15/2024,"Charles Maury, Darren Elliott, James Maury",11-50,Accelevate is delivering the worlds first AI-Assistant with generative computational models for fleets to find their optimal 'fleet blend.',"Business Intelligence, Fleet Management, Marketplace, Predictive Analytics, Software","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Software, Transportation","Henderson, Nevada, United States",Western US,89012,,,Active,Early Stage Venture,2,"$2,000,000.00",USD,8/15/2025,Series A,"$3,033,000.00",USD,1,Charles Maury,4/29/2025,,-0.1,-0.7,5.1,14.00%,N,0,0,
freightmate Ai,https://www.crunchbase.com/organization/freightmate-ai,5/13/2024,Bryan Lacaillade,11-50,Empowering freight forwarders with automation,"Logistics, Software, Supply Chain Management","Software, Transportation","Bellevue, Washington, United States","Greater Seattle Area, West Coast, Western US",,,,Active,Seed,2,"$5,000,000.00",USD,1/30/2025,Seed,"$5,650,000.00",USD,2,"FUSE, Wischoff Ventures",,,0.0,0.0,0.7,60.00%,N,0,0,
Kenzo Security,https://www.crunchbase.com/organization/kenzo-security,1/1/2023,Harish Singh,11-50,Kenzo Security operates as an agentic security platform.,"Cyber Security, Generative AI","Artificial Intelligence (AI), Information Technology, Privacy and Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,2,"$4,500,000.00",USD,4/21/2025,Seed,"$4,500,000.00",USD,1,"CrowdStrike, The General Partnership, AWS Startups, Michael Coates",,,-0.2,-0.5,-0.7,63.00%,Y,0,1,
Montara Therapeutics,https://www.crunchbase.com/organization/montara-therapeutics,1/1/2023,Nicholas Hertz,11-50,Montara Therapeutics offers a platform to prevent peripheral toxicities and concentrate neurological drugs’ activity in the brain.,"Biopharma, Biotechnology, Medical, Wellness","Biotechnology, Health Care, Science and Engineering","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94107,,,Active,Seed,3,"$3,300,000.00",USD,5/21/2025,Grant,"$31,300,000.00",USD,3,"KdT Ventures, Two Bear Capital, Dementia Discovery Fund, Michael J. Fox Foundation, Dolby Family Ventures",3/13/2025,,-0.3,-1.7,-2.0,24.00%,N,0,0,
Iris,https://www.crunchbase.com/organization/iris-ad91,7/1/2023,Ben Hills,11-50,"Iris streamlines RFP automation with GenAI, generating accurate, tailored responses that cut time and boost win rates.","Artificial Intelligence (AI), Compliance, Cyber Security, Enterprise Software, Generative AI, SaaS, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,2,"$3,000,000.00",USD,2/1/2025,Seed,"$5,000,000.00",USD,2,"Florida Funders, Naples Technology Ventures, MDJ Group",,,0.0,0.0,-0.7,100.00%,N,0,0,
ExLabs,https://www.crunchbase.com/organization/exlabs-f803,1/1/2023,"Freyr Thor, Matthew Schmidgall, Miguel Pascual",11-50,"Next-generation spacecraft manufacturer, building the foundation for sustainable space exploration and access to off-planet resources.","Aerospace, Manufacturing, Natural Resources, Robotics, Space Travel","Hardware, Manufacturing, Natural Resources, Science and Engineering, Software, Sustainability, Transportation","Long Beach, California, United States","Greater Los Angeles Area, West Coast, Western US",90808,,,Active,Seed,6,"$1,800,000.00",USD,3/1/2025,Grant,"$7,400,000.00",USD,2,"Leonid Capital Partners, 1517 Fund",,,-0.1,-1.4,-2.1,10.00%,N,0,0,
Assured Health,https://www.crunchbase.com/organization/assured-health,1/1/2024,,11-50,"Assured Health provides a platform to automate healthcare credentialing, licensing, and payor enrollment for healthcare organizations.","Artificial Intelligence (AI), Health Care, Software","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Irving, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",75039,,,Active,Seed,1,"$6,000,000.00",USD,9/15/2025,Seed,"$6,000,000.00",USD,1,"First Round Capital, Kindred Ventures, Bragiel Brothers",,,5.4,9.9,9.9,146.00%,Y,0,11,
Uranium Digital,https://www.crunchbase.com/organization/uranium-digital,1/1/2024,,11-50,"The first 24/7 spot market for institutional uranium trading, bringing efficient price discovery to the transfer of physical uranium assets.","Computer, Software, Trading Platform","Consumer Electronics, Financial Services, Hardware, Lending and Investments, Software","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",60025,,,Active,Seed,2,"$6,100,000.00",USD,3/20/2025,Seed,"$7,800,000.00",USD,2,"Framework Ventures, Portal Ventures, Mirana, Karatage, Knollwood Investment Advisory",,,-0.1,0.8,-0.6,14.00%,N,0,0,
Podqi,https://www.crunchbase.com/organization/podqi,3/6/2024,,11-50,"Podqi is an artificial intelligence-powered platform that automates monitoring, takedown, and retroactive compensation for IP infringements.","Artificial Intelligence (AI), Digital Entertainment, Legal Tech, Media and Entertainment, Music, Software, Sports","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Professional Services, Science and Engineering, Software, Sports","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94103,,,Active,Seed,1,"$3,200,000.00",USD,3/11/2025,Seed,"$3,200,000.00",USD,1,"General Catalyst, Afore Capital, Soma Capital",,,0.0,-0.2,-0.2,167.00%,N,0,0,
Uptime Industries,https://www.crunchbase.com/organization/uptime-industries,4/1/2023,"Ivan Kuleshov, Sascha Buehrle",11-50,"Lemony.ai by Uptime Industries, the world’s first ready-to-use B2B edgeAI platform.","Artificial Intelligence (AI), Computer, Developer APIs, Generative AI, Natural Language Processing","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10013,,,Active,Seed,3,"$1,000,000.00",USD,2/10/2025,Seed,"$4,300,000.00",USD,3,"Alumni Ventures, Kickstarter, True Ventures",,,-0.1,-0.5,-1.1,20.00%,N,0,0,
Desteia,https://www.crunchbase.com/organization/desteia,2/1/2023,"Austin Poore, Diego Solorzano Cervantes, Françoise Lavertu",11-50,Desteia operates as a logistics platform that provides end to end visibility to users.,"Artificial Intelligence (AI), Logistics, Software, Supply Chain Management","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10010,,$1M to $10M,Active,Seed,2,"$8,000,000.00",USD,2/4/2025,Seed,"$11,500,000.00",USD,4,"Village Global, Autotech Ventures, Foundamental, Bridge Latam, Nido Ventures",,,0.3,-0.6,-0.3,43.00%,N,0,0,
Atraverse Medical,https://www.crunchbase.com/organization/atraverse-medical,1/1/2023,Eric Sauter,11-50,Atraverse Medical offers a product development for left-heart access technology to simplify workflows and improve patient outcomes.,"Health Care, Medical, Medical Device",Health Care,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",,,,Active,Early Stage Venture,2,"$29,400,000.00",USD,6/10/2025,Series A,"$41,900,000.00",USD,,,,,-0.2,-1.0,-4.5,52.00%,N,0,0,
UltronAI,https://www.crunchbase.com/organization/ultron-ai,1/1/2023,,11-50,UltronAI builds AI computer vision software for the retail industry.,"Artificial Intelligence (AI), Enterprise Software, Retail, Software","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software","Princeton, New Jersey, United States","East Coast, Northeastern US",8542,,,Active,Seed,3,"$1,340,000.00",USD,8/8/2025,Seed,"$3,940,750.00",USD,,"Zenture Capital Partners, TBD Angels",,,-0.6,-1.7,5.2,18.00%,N,0,0,
Nortian Biotech,https://www.crunchbase.com/organization/nortian-biotech,7/1/2024,,101-250,Nortian Biotech is a company focused on developing a high-value protein ecosystem.,"Biotechnology, Food and Beverage, Manufacturing","Biotechnology, Food and Beverage, Manufacturing, Science and Engineering","Saint Joseph, Missouri, United States",Midwestern US,64504,,,Active,,1,"$41,000,000.00",USD,5/14/2025,Venture - Series Unknown,"$41,000,000.00",USD,1,"AJ Hollander Enterprises, Hubbard Feeds, XPTO",,,-0.3,-0.8,-0.8,0.00%,N,0,0,
Sunrise Realty Trust,https://www.crunchbase.com/organization/sunrise-realty-trust,1/1/2023,,11-50,Sunrise Realty Trust specializes in delivering capital solutions to the commercial real estate sector.,"Commercial, Financial Services, Real Estate","Financial Services, Other, Real Estate","West Palm Beach, Florida, United States","Greater Miami Area, East Coast, Southern US",33401,,,Active,IPO,2,"$90,000,000.00",USD,5/20/2025,Post-IPO Debt,"$159,000,000.00",USD,2,"City National Bank of Florida, East West Bank",1/30/2025,,-0.6,1.0,-2.7,17.00%,N,0,0,
Driven,https://www.crunchbase.com/organization/driven-845a,1/1/2024,Ludovic Diercxsens,11-50,Driven is an AI-powered platform designed to simplify and automate sales commission management.,"Artificial Intelligence (AI), Web Development","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Belgium, Wisconsin, United States","Great Lakes, Midwestern US",,,,Active,Seed,1,"$1,500,000.00",EUR,9/4/2025,Seed,"$1,500,000.00",EUR,1,"louis mahy, Ridge Verschueren, Louis Opsomer, Stan De Pauw, Nicolas Debray",,,0.0,9.9,9.9,167.00%,Y,0,6,
pWin.ai,https://www.crunchbase.com/organization/pwin-ai,1/1/2024,"Sanju Bansal, Vishwas Lele",11-50,"pWin.ai is an AI proposal-writing copilot built with Shipley best practices, streamlining bids and boosting win rates.","Artificial Intelligence (AI), Data Management, Information Technology, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Mclean, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",,,,Active,Seed,1,"$10,000,000.00",USD,6/2/2025,Seed,"$10,000,000.00",USD,1,Sanju Bansal,,,-0.4,-0.7,-3.2,5.00%,N,0,0,
Future AGI,https://www.crunchbase.com/organization/future-agi,1/1/2024,,11-50,Future AGI offers an AI platform that helps businesses build more accurate and reliable AI applications faster.,"Artificial Intelligence (AI), Information Technology, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,1,"$1,600,000.00",USD,2/11/2025,Pre-Seed,"$1,600,000.00",USD,2,"Powerhouse Ventures, Snow Leopard Technology Ventures, AngelList Quant Fund, Saka Ventures, Swadharma Source Ventures",,,0.0,0.0,0.6,245.00%,Y,0,14,
Kay.ai,https://www.crunchbase.com/organization/kay-ai,1/1/2024,"Achyut Joshi, Vishal Rohra",11-50,Kay.ai operates as an AI workforce for insurance operations.,"Artificial Intelligence (AI), Insurance, Robotic Process Automation (RPA)","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",11249,,,Active,Seed,1,"$3,000,000.00",USD,3/25/2025,Seed,"$3,000,000.00",USD,1,"South Park Commons, Wing Venture Capital, 101 Weston Labs",,,-0.1,-0.3,-0.5,40.00%,Y,0,2,
dextoro,https://www.crunchbase.com/organization/dextoro,6/1/2023,Nick Nechanicky,11-50,"DexToro is the easiest way to discover, buy, and sell crypto through DeFi.","Blockchain, Cryptocurrency, Decentralized Finance (DeFi), FinTech","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",33130,,,Active,Seed,3,"$300,000.00",USD,6/4/2025,Product Crowdfunding,"$900,000.00",USD,,,,,0.0,-1.1,-4.1,17.00%,N,0,0,
Ryse,https://www.crunchbase.com/organization/ryse-0fd6,1/1/2024,"Harsh Yadav, Sean Mitchell",11-50,Ryse is a marketplace for real estate operators to sell their lease assets to capital markets investors,"Information Technology, Marketplace, Real Estate","Commerce and Shopping, Information Technology, Real Estate","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,,2,"$5,900,000.00",USD,3/13/2025,Venture - Series Unknown,"$6,400,000.00",USD,1,"Y Combinator, Pioneer Fund, Sahin Boydas, Roman Smolevskiy, Acacia Venture Capital Partners",,,0.0,0.8,1.8,0.00%,N,0,0,
